=== economy-table90.xlsx ===
Cell A1 | value='Direct Loan Portfolio by Repayment Plan' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Includes outstanding principal and interest balances of Direct Loan borrowers in Repayment, Deferment, and Forbearance' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21] | col_header=False | row_header=False | metadata=True
Cell A3 | value='Data Source: National Student Loan Data System (NSLDS)' | fill=FF00B0F0 | rows=[2] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21] | col_header=False | row_header=False | metadata=True
Cell C6 | value='Level:  10 Yrs or Less' | fill=7 | rows=[5] | cols=[2, 3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='Level: > 10 Yrs' | fill=None | rows=[5] | cols=[4, 5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='Graduated: 10 Yrs or Less' | fill=7 | rows=[5] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='Graduated: > 10 Yrs' | fill=None | rows=[5] | cols=[8, 9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='Income-Contingent' | fill=7 | rows=[5] | cols=[10, 11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='Income-Based' | fill=None | rows=[5] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='Pay As You Earn*' | fill=7 | rows=[5] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='SAVE' | fill=None | rows=[5] | cols=[16, 17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='Alternative' | fill=7 | rows=[5] | cols=[18, 19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='Other' | fill=7 | rows=[5] | cols=[20, 21] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Federal Fiscal Year' | fill=FFFFFF00 | rows=[6] | cols=[0, 1] | col_header=True | row_header=False | metadata=False
Cell C7 | value='Dollars Outstanding           (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E7 | value='Dollars Outstanding            (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G7 | value='Dollars Outstanding           (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I7 | value='Dollars Outstanding            (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K7 | value='Dollars Outstanding           (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M7 | value='Dollars Outstanding            (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[13] | col_header=True | row_header=False | metadata=False
