=== environment-table12.xlsx ===
Cell A1 | value='June 2008 Agricultural and Horticultural Survey - England' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='E-Mail enquiries here' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Region & County/Unitary Authority' | fill=FFFFFF00 | rows=[3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='FARM TYPES' | fill=FFFFFF00 | rows=[3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell AF4 | value='FARM SIZE' | fill=FFFFFF00 | rows=[3] | cols=[31] | col_header=True | row_header=False | metadata=False
Cell AU4 | value='TOTAL HOLDINGS' | fill=FFFFFF00 | rows=[3] | cols=[46, 47, 48] | col_header=True | row_header=False | metadata=False
Cell B5 | value='Cereals' | fill=43 | rows=[4] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='General Cropping' | fill=43 | rows=[4] | cols=[4, 5, 6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='Horticulture' | fill=43 | rows=[4] | cols=[7, 8, 9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='Specialist Pigs' | fill=43 | rows=[4] | cols=[10, 11, 12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='Specialist Poultry' | fill=43 | rows=[4] | cols=[13, 14, 15] | col_header=False | row_header=False | metadata=False
Cell R5 | value='Dairy' | fill=43 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell T5 | value='Grazing Livestock (LFA)' | fill=43 | rows=[4] | cols=[19, 20, 21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='Grazing Livestock (lowland)' | fill=43 | rows=[4] | cols=[22, 23, 24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='Mixed' | fill=43 | rows=[4] | cols=[25, 26, 27] | col_header=False | row_header=False | metadata=False
Cell AC5 | value='Other1' | fill=43 | rows=[4] | cols=[28, 29, 30] | col_header=False | row_header=False | metadata=False
Cell AF5 | value='<5ha' | fill=44 | rows=[4] | cols=[31, 32, 33] | col_header=False | row_header=False | metadata=False
Cell AI5 | value='5<20ha' | fill=44 | rows=[4] | cols=[34, 35, 36] | col_header=False | row_header=False | metadata=False
Cell AL5 | value='20<50ha' | fill=44 | rows=[4] | cols=[37, 38, 39] | col_header=False | row_header=False | metadata=False
Cell AO5 | value='50<100ha' | fill=44 | rows=[4] | cols=[40, 41, 42] | col_header=False | row_header=False | metadata=False
Cell AR5 | value='>=100ha' | fill=44 | rows=[4] | cols=[43, 44, 45] | col_header=False | row_header=False | metadata=False
Cell B6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[1, 2, 3] | col_header=True | row_header=False | metadata=False
Cell E6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[4, 5, 6] | col_header=True | row_header=False | metadata=False
Cell H6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[7, 8, 9] | col_header=True | row_header=False | metadata=False
Cell K6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[10, 11, 12] | col_header=True | row_header=False | metadata=False
Cell N6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[13, 14, 15] | col_header=True | row_header=False | metadata=False
Cell Q6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[16, 17, 18] | col_header=True | row_header=False | metadata=False
Cell T6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[19, 20, 21] | col_header=True | row_header=False | metadata=False
Cell W6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[22, 23, 24] | col_header=True | row_header=False | metadata=False
Cell Z6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[25, 26, 27] | col_header=True | row_header=False | metadata=False
Cell AC6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[28, 29, 30] | col_header=True | row_header=False | metadata=False
Cell AF6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[31, 32, 33] | col_header=True | row_header=False | metadata=False
Cell AI6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[34, 35, 36] | col_header=True | row_header=False | metadata=False
Cell AL6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[37, 38, 39] | col_header=True | row_header=False | metadata=False
Cell AO6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[40, 41, 42] | col_header=True | row_header=False | metadata=False
Cell AR6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[43, 44, 45] | col_header=True | row_header=False | metadata=False
Cell AU6 | value='number of holdings' | fill=FFFFFF00 | rows=[5] | cols=[46, 47, 48] | col_header=True | row_header=False | metadata=False
