=== science-table77.xlsx ===
Cell C1 | value='Experiment 1' | fill=00000000 | rows=[0] | cols=[2, 3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=False
Cell M1 | value='Experiment 2' | fill=00000000 | rows=[0] | cols=[12, 13, 14, 15, 16, 17, 18, 19] | col_header=False | row_header=False | metadata=False
Cell C2 | value='Replicate 1' | fill=00000000 | rows=[1] | cols=[2, 3, 4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='Replicate 2' | fill=00000000 | rows=[1] | cols=[5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='Replicate 3' | fill=00000000 | rows=[1] | cols=[8, 9, 10] | col_header=False | row_header=False | metadata=False
Cell M2 | value='Replicate 1' | fill=00000000 | rows=[1] | cols=[12, 13, 14] | col_header=False | row_header=False | metadata=False
Cell P2 | value='Replicate 2' | fill=00000000 | rows=[1] | cols=[15, 16, 17] | col_header=False | row_header=False | metadata=False
Cell S2 | value='Replicate 3' | fill=00000000 | rows=[1] | cols=[18, 19, 20] | col_header=False | row_header=False | metadata=False
Cell C3 | value='No. of total DCs' | fill=FFFFFF00 | rows=[2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='No. of infected DCs' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='No. of intracellular amastgotes' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='No. of total DCs' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='No. of infected DCs' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='No. of intracellular amastgotes' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='No. of total DCs' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='No. of infected DCs' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='No. of intracellular amastgotes' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell M3 | value='No. of total DCs' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='No. of infected DCs' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='No. of intracellular amastgotes' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
