=== employment-table27.xlsx ===
Cell A1 | value='Occupation' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Total unemployed' | fill=FFFFFF00 | rows=[0] | cols=[1, 2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Unemployment rates' | fill=FFFFFF00 | rows=[0] | cols=[3, 4, 5, 6, 7, 8] | col_header=True | row_header=False | metadata=False
Cell B2 | value='2022' | fill=00000000 | rows=[1, 2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='2023' | fill=00000000 | rows=[1, 2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='Total' | fill=00000000 | rows=[1] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='Men' | fill=00000000 | rows=[1] | cols=[5, 6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='Women' | fill=00000000 | rows=[1] | cols=[7, 8] | col_header=False | row_header=False | metadata=False
Cell D3 | value='2022' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='2023' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='2022' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='2023' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='2022' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='2023' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Total, 16 years and over(1)' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='5996' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='6080' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='3.6' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='3.6' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
