=== society-table12.xlsx ===
Cell B1 | value='2000' | fill=7 | rows=[0] | cols=[1, 2, 3, 4] | col_header=False | row_header=False | metadata=False
Cell F1 | value='2001' | fill=7 | rows=[0] | cols=[5, 6, 7, 8] | col_header=False | row_header=False | metadata=False
Cell J1 | value='2002' | fill=7 | rows=[0] | cols=[9, 10, 11, 12] | col_header=False | row_header=False | metadata=False
Cell N1 | value='2003' | fill=7 | rows=[0] | cols=[13, 14, 15, 16] | col_header=False | row_header=False | metadata=False
Cell R1 | value='2004' | fill=7 | rows=[0] | cols=[17, 18, 19, 20] | col_header=False | row_header=False | metadata=False
Cell V1 | value='2005' | fill=7 | rows=[0] | cols=[21, 22, 23, 24] | col_header=False | row_header=False | metadata=False
Cell Z1 | value='2006' | fill=7 | rows=[0] | cols=[25, 26, 27, 28] | col_header=False | row_header=False | metadata=False
Cell AD1 | value='2007' | fill=7 | rows=[0] | cols=[29, 30, 31, 32] | col_header=False | row_header=False | metadata=False
Cell A2 | value='Activity' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Planned Hrs' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Actual Hrs' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='Percentage' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Planned Hrs' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Actual Hrs' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Percentage' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Planned Hrs' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
