=== employment-table31.xlsx ===
Cell B1 | value='East Midlands' | fill=FFFFFF00 | rows=[0] | cols=[1, 2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='East of England' | fill=FFFFFF00 | rows=[0] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='London' | fill=FFFFFF00 | rows=[0] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H1 | value='North East' | fill=FFFFFF00 | rows=[0] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell J1 | value='North West' | fill=FFFFFF00 | rows=[0] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell L1 | value='South East' | fill=FFFFFF00 | rows=[0] | cols=[11, 12] | col_header=True | row_header=False | metadata=False
Cell N1 | value='South West' | fill=FFFFFF00 | rows=[0] | cols=[13, 14] | col_header=True | row_header=False | metadata=False
Cell P1 | value='West Midlands' | fill=FFFFFF00 | rows=[0] | cols=[15, 16] | col_header=True | row_header=False | metadata=False
Cell R1 | value='Yorkshire and the Humber' | fill=FFFFFF00 | rows=[0] | cols=[17, 18] | col_header=True | row_header=False | metadata=False
Cell T1 | value='England' | fill=FFFFFF00 | rows=[0] | cols=[19, 20] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Sector' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Creative' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='87842.8603848929' | fill=9 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='85406.0615603345' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='138251.413145119' | fill=9 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='133419.725319473' | fill=9 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='451787.868801883' | fill=9 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='458666.999869109' | fill=9 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='44162.5694752818' | fill=9 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='42607.4541766872' | fill=9 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='145026.400546636' | fill=9 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='141727.35877145' | fill=9 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='251488.008396321' | fill=9 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='257285.339936305' | fill=9 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='138208.098103955' | fill=9 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='137847.909491087' | fill=9 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='101333.832049128' | fill=9 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='105814.326770567' | fill=9 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='108000.339322394' | fill=9 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='109834.851788233' | fill=9 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='1479380.78022561' | fill=9 | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
