=== employment-table04.xlsx ===
Cell A1 | value='Age and sex' | fill=FFFFFF00 | rows=[0, 1, 2, 3] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='2023' | fill=FFFFFF00 | rows=[0] | cols=[1, 2, 3, 4, 5, 6, 7, 8] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Civilian
noninsti-
tutional
population' | fill=FFFFFF00 | rows=[1, 2, 3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Civilian labor force' | fill=FFFFFF00 | rows=[1] | cols=[2, 3, 4, 5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Not
in
labor
force' | fill=FFFFFF00 | rows=[1, 2, 3] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell C3 | value='Total' | fill=FF00B0F0 | rows=[2, 3] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D3 | value='Percent of
population' | fill=FFFFFF00 | rows=[2, 3] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='Employed' | fill=FFFFFF00 | rows=[2] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='Unemployed' | fill=FFFFFF00 | rows=[2] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell E4 | value='Total' | fill=FF00B0F0 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F4 | value='Percent of
population' | fill=FFFFFF00 | rows=[3] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G4 | value='Number' | fill=FFFFFF00 | rows=[3] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H4 | value='Percent of
labor force' | fill=FFFFFF00 | rows=[3] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell A6 | value='HISPANIC OR LATINO ETHNICITY' | fill=FFFFFF00 | rows=[5] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A7 | value='16 years and over' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
