=== environment-table16.xlsx ===
Cell A1 | value='Species of animal' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Primary purpose of the procedure' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell K1 | value='Total' | fill=FF00B0F0 | rows=[0] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Fundamental biological research' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Applied studies -human medicine or dentistry' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Applied studies -veterinary medicine' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='Protection of man, animals or environment' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Education' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Training' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Forensic enquiries' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Direct diagnosis' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Breeding of GM or HM animals' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Mammal' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Mouse' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='864182' | fill=47 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='318304' | fill=47 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='14612' | fill=47 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
