=== environment-table15.xlsx ===
Cell A1 | value='Species of animal' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B2 | value='1988' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='1989' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='1990' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='1991' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='1992' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='1993' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='1994' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='1995' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='1996' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='1997' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='1998' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='1999' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='2000' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='2001' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='2002' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q2 | value='2003' | fill=FFFFFF00 | rows=[1] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R2 | value='2004' | fill=FFFFFF00 | rows=[1] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U2 | value='2007' | fill=FFFFFF00 | rows=[1] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X2 | value='2010' | fill=FFFFFF00 | rows=[1] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y2 | value='2011' | fill=FFFFFF00 | rows=[1] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Mouse' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='1850.5' | fill=00000000 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='1744.9' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='1636.3' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='1698.9' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='1449' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='1457.3' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='1475' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='1454.9' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='1502.1' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='1517.888' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='1590.8' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='1641.868' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='1607' | fill=00000000 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='1657.657' | fill=00000000 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='1720.253' | fill=00000000 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='1816.866' | fill=00000000 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='1919.138' | fill=00000000 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='1961.049' | fill=00000000 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='2067.071' | fill=00000000 | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='2221.9' | fill=00000000 | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V3 | value='2418.604' | fill=00000000 | rows=[2] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W3 | value='2628.556' | fill=00000000 | rows=[2] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X3 | value='2670.067' | fill=00000000 | rows=[2] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y3 | value='2679.763' | fill=00000000 | rows=[2] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Rat' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='860.4' | fill=00000000 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='882.3' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='891.5' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='881.7' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='833' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='819.7' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='755.9' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
