=== economy-table56.xlsx ===
Cell B1 | value='January' | fill=FFFFFF00 | rows=[0] | cols=[1, 2, 3] | col_header=True | row_header=False | metadata=False
Cell F1 | value='February' | fill=FFFFFF00 | rows=[0] | cols=[5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell J1 | value='March' | fill=FFFFFF00 | rows=[0] | cols=[9, 10, 11] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Actual' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Budget' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Actual' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Budget' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Actual' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='Budget' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Product 1' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='23432' | fill=FFFFFFFF | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='31233' | fill=FFFFFFFF | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='7801' | fill=FFFFFFFF | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
