=== employment-table29.xlsx ===
Cell A1 | value='Sex' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Female' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Male' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Total' | fill=FF00B0F0 | rows=[0] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A3 | value='Reference area: Austria' | fill=FFFFFF00 | rows=[2] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Institutional sector: State government' | fill=FFFFFF00 | rows=[3] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='192617' | fill=FF00B0F0 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A6 | value='Reference area: Belgium' | fill=FFFFFF00 | rows=[5] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A7 | value='Institutional sector: Intermediate government' | fill=FFFFFF00 | rows=[6] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B8 | value='9287' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='6574' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='15861' | fill=FF00B0F0 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A9 | value='Reference area: Belgium' | fill=FFFFFF00 | rows=[8] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A10 | value='Institutional sector: Inter-municipal cooperation bodies' | fill=FFFFFF00 | rows=[9] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B11 | value='27816' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='18701' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='46517' | fill=FF00B0F0 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A12 | value='Reference area: Belgium' | fill=FFFFFF00 | rows=[11] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A13 | value='Institutional sector: State government' | fill=FFFFFF00 | rows=[12] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B14 | value='330442' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='156431' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='486873' | fill=FF00B0F0 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A15 | value='Reference area: Belgium' | fill=FFFFFF00 | rows=[14] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A16 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[15] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B17 | value='185945' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='112567' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='298512' | fill=FF00B0F0 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A18 | value='Reference area: Canada' | fill=FFFFFF00 | rows=[17] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A19 | value='Institutional sector: State government' | fill=FFFFFF00 | rows=[18] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B20 | value='166700' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='128900' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='295500' | fill=FF00B0F0 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A21 | value='Reference area: Canada' | fill=FFFFFF00 | rows=[20] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A22 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[21] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B23 | value='143500' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='206300' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='349800' | fill=FF00B0F0 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A24 | value='Reference area: Costa Rica' | fill=FFFFFF00 | rows=[23] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A25 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[24] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B26 | value='949' | fill=00000000 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='2351' | fill=00000000 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='3300' | fill=FF00B0F0 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A27 | value='Reference area: Denmark' | fill=FFFFFF00 | rows=[26] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A28 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFFFFF00 | rows=[27] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B29 | value='111220' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='35154' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='146374' | fill=FF00B0F0 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A30 | value='Reference area: Denmark' | fill=FFFFFF00 | rows=[29] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A31 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[30] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B32 | value='389237' | fill=00000000 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='114288' | fill=00000000 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='503525' | fill=FF00B0F0 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A33 | value='Reference area: Finland' | fill=FFFFFF00 | rows=[32] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A34 | value='Institutional sector: Inter-municipal cooperation bodies' | fill=FFFFFF00 | rows=[33] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B35 | value='143789' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='37841' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='181630' | fill=FF00B0F0 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A36 | value='Reference area: Finland' | fill=FFFFFF00 | rows=[35] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A37 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[36] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B38 | value='452667' | fill=00000000 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='96150' | fill=00000000 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='548817' | fill=FF00B0F0 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A39 | value='Reference area: France' | fill=FFFFFF00 | rows=[38] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A40 | value='Institutional sector: Intermediate government' | fill=FFFFFF00 | rows=[39] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B41 | value='208570' | fill=00000000 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='141548' | fill=00000000 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='350118' | fill=FF00B0F0 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=True
