=== economy-table94.xlsx ===
Cell A1 | value='Producer Price Index item' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='1974' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='1975' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='1976' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='1977' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='1978' | fill=FFFFFF00 | rows=[0] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G1 | value='1979' | fill=FFFFFF00 | rows=[0] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H1 | value='1980' | fill=FFFFFF00 | rows=[0] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I1 | value='1981' | fill=FFFFFF00 | rows=[0] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J1 | value='1982' | fill=FFFFFF00 | rows=[0] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K1 | value='1983' | fill=FFFFFF00 | rows=[0] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L1 | value='1984' | fill=FFFFFF00 | rows=[0] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M1 | value='1985' | fill=FFFFFF00 | rows=[0] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N1 | value='1986' | fill=FFFFFF00 | rows=[0] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O1 | value='1987' | fill=FFFFFF00 | rows=[0] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P1 | value='1988' | fill=FFFFFF00 | rows=[0] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q1 | value='1989' | fill=FFFFFF00 | rows=[0] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R1 | value='1990' | fill=FFFFFF00 | rows=[0] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S1 | value='1991' | fill=FFFFFF00 | rows=[0] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T1 | value='1992' | fill=FFFFFF00 | rows=[0] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U1 | value='1993' | fill=FFFFFF00 | rows=[0] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V1 | value='1994' | fill=FFFFFF00 | rows=[0] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W1 | value='1995' | fill=FFFFFF00 | rows=[0] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X1 | value='1996' | fill=FFFFFF00 | rows=[0] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y1 | value='1997' | fill=FFFFFF00 | rows=[0] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z1 | value='1998' | fill=FFFFFF00 | rows=[0] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell AA1 | value='1999' | fill=FFFFFF00 | rows=[0] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AB1 | value='2000' | fill=FFFFFF00 | rows=[0] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC1 | value='2001' | fill=FFFFFF00 | rows=[0] | cols=[28] | col_header=True | row_header=False | metadata=False
Cell AD1 | value='2002' | fill=FFFFFF00 | rows=[0] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AE1 | value='2003' | fill=FFFFFF00 | rows=[0] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF1 | value='2004' | fill=FFFFFF00 | rows=[0] | cols=[31] | col_header=True | row_header=False | metadata=False
Cell AG1 | value='2005' | fill=FFFFFF00 | rows=[0] | cols=[32] | col_header=True | row_header=False | metadata=False
Cell AH1 | value='2006' | fill=FFFFFF00 | rows=[0] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell AI1 | value='2007' | fill=FFFFFF00 | rows=[0] | cols=[34] | col_header=True | row_header=False | metadata=False
Cell AJ1 | value='2008' | fill=FFFFFF00 | rows=[0] | cols=[35] | col_header=True | row_header=False | metadata=False
Cell AK1 | value='2009' | fill=FFFFFF00 | rows=[0] | cols=[36] | col_header=True | row_header=False | metadata=False
Cell AL1 | value='2010' | fill=FFFFFF00 | rows=[0] | cols=[37] | col_header=True | row_header=False | metadata=False
Cell AM1 | value='2011' | fill=FFFFFF00 | rows=[0] | cols=[38] | col_header=True | row_header=False | metadata=False
Cell AN1 | value='2012' | fill=FFFFFF00 | rows=[0] | cols=[39] | col_header=True | row_header=False | metadata=False
Cell AO1 | value='2013' | fill=FFFFFF00 | rows=[0] | cols=[40] | col_header=True | row_header=False | metadata=False
Cell AP1 | value='2014' | fill=FFFFFF00 | rows=[0] | cols=[41] | col_header=True | row_header=False | metadata=False
Cell AQ1 | value='2015' | fill=FFFFFF00 | rows=[0] | cols=[42] | col_header=True | row_header=False | metadata=False
Cell AR1 | value='2016' | fill=FFFFFF00 | rows=[0] | cols=[43] | col_header=True | row_header=False | metadata=False
Cell AS1 | value='2017' | fill=FFFFFF00 | rows=[0] | cols=[44] | col_header=True | row_header=False | metadata=False
Cell AT1 | value='2018' | fill=FFFFFF00 | rows=[0] | cols=[45] | col_header=True | row_header=False | metadata=False
Cell AU1 | value='2019' | fill=FFFFFF00 | rows=[0] | cols=[46] | col_header=True | row_header=False | metadata=False
Cell AV1 | value='2020' | fill=FFFFFF00 | rows=[0] | cols=[47] | col_header=True | row_header=False | metadata=False
Cell AW1 | value='2021' | fill=FFFFFF00 | rows=[0] | cols=[48] | col_header=True | row_header=False | metadata=False
Cell AX1 | value='2022' | fill=FFFFFF00 | rows=[0] | cols=[49] | col_header=True | row_header=False | metadata=False
Cell AY1 | value='2023' | fill=FFFFFF00 | rows=[0] | cols=[50] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Unprocessed foodstuffs and feedstuffs' | fill=FF00B050 | rows=[1] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B2 | value='5.2' | fill=00000000 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='1.3' | fill=00000000 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='-0.8' | fill=00000000 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='0.9' | fill=00000000 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='12.6' | fill=00000000 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
