=== science-table31.xlsx ===
Cell A1 | value='Ripley cluster analysis used for Figure 4b' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=True | metadata=True
Cell A3 | value='Distance (μm)' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B3 | value='Ripley L(r) (μm) - cycling' | fill=FFFFFF00 | rows=[2] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='Ripley L(r) (μm) - ovariectomy' | fill=FFFFFF00 | rows=[2] | cols=[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40] | col_header=True | row_header=False | metadata=False
Cell A4 | value='2.5' | fill=00000000 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='3.05803571' | fill=00000000 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='0.8013564' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='-0.868101' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='0.896295' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='-4.278398' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='1.908016' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='1.068045' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='0.147907' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='3.03128' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='4.963218' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='1.068045' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='2.991669' | fill=00000000 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='1.163698' | fill=00000000 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='3.046928' | fill=00000000 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='1.027469' | fill=00000000 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='0.896295' | fill=00000000 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='-3.124505' | fill=00000000 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='-3.107017' | fill=00000000 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='-1.658083' | fill=00000000 | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='-4.004904' | fill=00000000 | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell Z4 | value='-2.70636' | fill=00000000 | rows=[3] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA4 | value='0.6972' | fill=00000000 | rows=[3] | cols=[26] | col_header=False | row_header=False | metadata=False
