=== sport-table08.xlsx ===
Cell C1 | value='Home' | fill=FFFFFF00 | rows=[0] | cols=[2, 3, 4, 5, 6, 7, 8, 9] | col_header=True | row_header=False | metadata=False
Cell L1 | value='Away' | fill=FFFFFF00 | rows=[0] | cols=[11, 12, 13, 14, 15, 16, 17, 18] | col_header=True | row_header=False | metadata=False
Cell U1 | value='Total' | fill=FF00B0F0 | rows=[0] | cols=[20, 21, 22, 23, 24, 25, 26, 27] | col_header=False | row_header=False | metadata=True
Cell C2 | value='G' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='W' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='T' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='L' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='GF' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell I2 | value='GA' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell L2 | value='G' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='W' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='T' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='L' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='GF' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell R2 | value='GA' | fill=FFFFFF00 | rows=[1] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell U2 | value='G' | fill=FF00B0F0 | rows=[1] | cols=[20] | col_header=False | row_header=False | metadata=True
Cell V2 | value='W' | fill=FF00B0F0 | rows=[1] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell W2 | value='T' | fill=FF00B0F0 | rows=[1] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell X2 | value='L' | fill=FF00B0F0 | rows=[1] | cols=[23] | col_header=False | row_header=False | metadata=True
Cell Y2 | value='GF' | fill=FF00B0F0 | rows=[1] | cols=[24] | col_header=False | row_header=False | metadata=True
Cell AA2 | value='GA' | fill=FF00B0F0 | rows=[1] | cols=[26] | col_header=False | row_header=False | metadata=True
Cell AC2 | value='Points' | fill=FF00B0F0 | rows=[1] | cols=[28] | col_header=False | row_header=False | metadata=True
Cell A3 | value='1' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Sp. Braga' | fill=FF00B050 | rows=[2] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C3 | value='1' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='1' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='0' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='0' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='3' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='-' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='0' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='3' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L3 | value='0' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='0' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='0' | fill=00000000 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='0' | fill=00000000 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='0' | fill=00000000 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='-' | fill=00000000 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='0' | fill=00000000 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='0' | fill=00000000 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell U3 | value='1' | fill=FF00B0F0 | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=True
Cell V3 | value='1' | fill=FF00B0F0 | rows=[2] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell W3 | value='0' | fill=FF00B0F0 | rows=[2] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell X3 | value='0' | fill=FF00B0F0 | rows=[2] | cols=[23] | col_header=False | row_header=False | metadata=True
Cell Y3 | value='3' | fill=FF00B0F0 | rows=[2] | cols=[24] | col_header=False | row_header=False | metadata=True
Cell Z3 | value='-' | fill=FF00B0F0 | rows=[2] | cols=[25] | col_header=False | row_header=False | metadata=True
Cell AA3 | value='0' | fill=FF00B0F0 | rows=[2] | cols=[26] | col_header=False | row_header=False | metadata=True
Cell AB3 | value='3' | fill=FF00B0F0 | rows=[2] | cols=[27] | col_header=False | row_header=False | metadata=True
Cell AC3 | value='3' | fill=FF00B0F0 | rows=[2] | cols=[28] | col_header=False | row_header=False | metadata=True
