=== society-table60.xlsx ===
Cell D1 | value='Total bankruptcies' | fill=FF00B0F0 | rows=[0, 1] | cols=[3, 4] | col_header=False | row_header=False | metadata=True
Cell F1 | value='Petition type' | fill=FFFFFF00 | rows=[0] | cols=[5, 6, 7, 8] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Creditor's petitions3' | fill=FFFFFF00 | rows=[1] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Debtor's applications4' | fill=FFFFFF00 | rows=[1] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell AH2 | value='Components Aggregate to Totals (scroll down for contribution consistency checks)' | fill=FFFFFF00 | rows=[1] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell A3 | value='2010' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D3 | value='59173' | fill=FF00B0F0 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell F3 | value='8542' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H3 | value='50631' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A4 | value='2011' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D4 | value='41928' | fill=FF00B0F0 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell F4 | value='7823' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H4 | value='34106' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell AH4 | value='Total bankruptcies = Creditors petitions + debtors applications' | fill=FF00B0F0 | rows=[3] | cols=[33] | col_header=False | row_header=False | metadata=True
Cell A5 | value='2012' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D5 | value='31775' | fill=FF00B0F0 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell F5 | value='6591' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H5 | value='25184' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A6 | value='2013' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D6 | value='24564' | fill=FF00B0F0 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell F6 | value='5377' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H6 | value='19189' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell AH6 | value='44' | fill=FF00B0F0 | rows=[5] | cols=[33] | col_header=False | row_header=False | metadata=True
Cell A7 | value='2014' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D7 | value='20339' | fill=FF00B0F0 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell F7 | value='4782' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H7 | value='15556' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A8 | value='2015' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D8 | value='15848' | fill=FF00B0F0 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell F8 | value='4403' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H8 | value='11446' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell AH8 | value='-50631' | fill=FF00B0F0 | rows=[7] | cols=[33] | col_header=False | row_header=False | metadata=True
Cell A9 | value='2016' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D9 | value='15049' | fill=FF00B0F0 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell F9 | value='3901' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H9 | value='11148' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell AH9 | value='-7250' | fill=FF00B0F0 | rows=[8] | cols=[33] | col_header=False | row_header=False | metadata=True
Cell A10 | value='2017' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D10 | value='15106' | fill=FF00B0F0 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell F10 | value='3303' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H10 | value='11804' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell AH10 | value='-8503' | fill=FF00B0F0 | rows=[9] | cols=[33] | col_header=False | row_header=False | metadata=True
Cell A11 | value='2018' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D11 | value='16639' | fill=FF00B0F0 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell F11 | value='3658' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H11 | value='12982' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell AH11 | value='-9360' | fill=FF00B0F0 | rows=[10] | cols=[33] | col_header=False | row_header=False | metadata=True
Cell A12 | value='2019' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D12 | value='16741' | fill=FF00B0F0 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell F12 | value='3126' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H12 | value='13615' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
