=== society-table46.xlsx ===
Cell A1 | value='Selected' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Int#' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Int# in LiST' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell H1 | value='Lives Saved through Mitigation Measures' | fill=FFFFFF00 | rows=[0] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I1 | value='Lives Lost through Added COVID Infections' | fill=FFFFFF00 | rows=[0] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J1 | value='Benefit-Risk Ratio' | fill=FFFFFF00 | rows=[0] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell A2 | value='x' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B2 | value='0' | fill=9 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='0' | fill=9 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='Family Planning' | fill=FF00B050 | rows=[1] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E2 | value='Contraceptive Use' | fill=FF00B050 | rows=[1] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H2 | value='7' | fill=00000000 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='-6.35338058257318' | fill=00000000 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J2 | value='1.1017756466849231' | fill=00000000 | rows=[1] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A3 | value='x' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B3 | value='9' | fill=5 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='14' | fill=5 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='Antenatal Care' | fill=FF00B050 | rows=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E3 | value='Antenatal care (at least 1 visit)' | fill=FF00B050 | rows=[2] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H3 | value='0' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='-2.2800157013136' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='0' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A4 | value='x' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B4 | value='10' | fill=5 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='15' | fill=5 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E4 | value='Antenatal care (at least 4 visits)' | fill=FF00B050 | rows=[3] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H4 | value='0' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='-10.036240628467' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='0' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A5 | value='x' | fill=FF00B0F0 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B5 | value='11' | fill=5 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='16' | fill=5 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E5 | value='TT - Tetanus toxoid vaccination' | fill=FF00B050 | rows=[4] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H5 | value='81' | fill=7 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='-3.70335482961572' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='21.872060260670455' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A6 | value='x' | fill=FF00B0F0 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B6 | value='12' | fill=5 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='17' | fill=5 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E6 | value='IPTp - Intermittent preventive treatment of malaria during pregnancy' | fill=FF00B050 | rows=[5] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H6 | value='0' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='0' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
