=== society-table74.xlsx ===
Cell E1 | value='Non-adverse decisions3' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='Adverse decisions4' | fill=FFFFFF00 | rows=[0] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G1 | value='Cancelled decisions5' | fill=FFFFFF00 | rows=[0] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H1 | value='Total decisions' | fill=FFFFFF00 | rows=[0] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell A2 | value='GREAT BRITAIN' | fill=FF00B050 | rows=[1] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell E2 | value='20376' | fill=9 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='19325' | fill=9 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G2 | value='36623' | fill=9 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='76324' | fill=9 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A3 | value='CENTRAL ENGLAND' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell E3 | value='3554' | fill=9 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='3068' | fill=9 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='6425' | fill=9 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='13045' | fill=9 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Birmingham and Solihull' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E4 | value='285' | fill=9 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='195' | fill=9 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='400' | fill=9 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='878' | fill=9 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Black Country' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E5 | value='266' | fill=9 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='185' | fill=9 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='361' | fill=9 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='808' | fill=9 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Derbyshire' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E6 | value='266' | fill=9 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='273' | fill=9 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='609' | fill=9 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='1144' | fill=9 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B7 | value='East Anglia' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E7 | value='1351' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='1192' | fill=9 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='1802' | fill=9 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='4343' | fill=9 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Leicestershire and Northamptonshire' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E8 | value='392' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='336' | fill=9 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='789' | fill=9 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='1517' | fill=9 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Lincolnshire, Nottinghamshire and Rutland' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E9 | value='369' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='565' | fill=9 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='1144' | fill=9 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='2079' | fill=9 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Mercia' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E10 | value='316' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='193' | fill=9 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='695' | fill=9 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='1202' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Staffordshire and Shropshire' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E11 | value='312' | fill=9 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='140' | fill=9 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='621' | fill=9 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='1072' | fill=9 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A13 | value='LONDON AND THE HOME COUNTIES' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell E13 | value='5398' | fill=9 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='5344' | fill=9 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='7978' | fill=9 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='18723' | fill=9 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Bedfordshire and Hertfordshire' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E14 | value='536' | fill=9 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='361' | fill=9 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='1025' | fill=9 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='1922' | fill=9 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B15 | value='East London' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E15 | value='818' | fill=9 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='797' | fill=9 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='1237' | fill=9 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='2852' | fill=9 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Essex' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E16 | value='1270' | fill=9 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='811' | fill=9 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='1745' | fill=9 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='3827' | fill=9 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Kent' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E17 | value='268' | fill=9 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='168' | fill=9 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='845' | fill=9 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='1287' | fill=9 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B18 | value='North London' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E18 | value='262' | fill=9 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='627' | fill=9 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='458' | fill=9 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='1349' | fill=9 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B19 | value='South London' | fill=FF00B050 | rows=[18] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E19 | value='2029' | fill=9 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='2170' | fill=9 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='2251' | fill=9 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='6455' | fill=9 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B20 | value='West London' | fill=FF00B050 | rows=[19] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E20 | value='211' | fill=9 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='407' | fill=9 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='412' | fill=9 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='1031' | fill=9 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A22 | value='NORTH EAST' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell E22 | value='2478' | fill=9 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='2112' | fill=9 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='5464' | fill=9 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='10062' | fill=9 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Durham and Tees Valley' | fill=FF00B050 | rows=[22] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E23 | value='532' | fill=9 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='404' | fill=9 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='1517' | fill=9 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='2456' | fill=9 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B24 | value='North East Yorkshire and the Humber' | fill=FF00B050 | rows=[23] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E24 | value='407' | fill=9 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='297' | fill=9 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='639' | fill=9 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
