=== society-table09.xlsx ===
Cell A1 | value='Region and state or area' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2] | col_header=True | row_header=True | metadata=False
Cell D1 | value='Number' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Average monthly payment a (dollars)' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell C2 | value='All areas' | fill=FF00B050 | rows=[1] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D2 | value='1078977' | fill=00000000 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='537.83' | fill=00000000 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Boston' | fill=FF00B050 | rows=[2] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D3 | value='37439' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='545.79' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Connecticut' | fill=FF00B050 | rows=[3] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D4 | value='6898' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='518.6' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Maine' | fill=FF00B050 | rows=[4] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D5 | value='3504' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='509.12' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Massachusetts' | fill=FF00B050 | rows=[5] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D6 | value='19129' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='560.69' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B7 | value='New Hampshire' | fill=FF00B050 | rows=[6] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D7 | value='1953' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='487.22' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Rhode Island' | fill=FF00B050 | rows=[7] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D8 | value='4232' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='576.64' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Vermont' | fill=FF00B050 | rows=[8] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D9 | value='1723' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='554.4' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A10 | value='New York' | fill=FF00B050 | rows=[9] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D10 | value='96126' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='550.67' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B11 | value='New Jersey' | fill=FF00B050 | rows=[10] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D11 | value='22704' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='530.95' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B12 | value='New York' | fill=FF00B050 | rows=[11] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D12 | value='73422' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='556.77' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Philadelphia' | fill=FF00B050 | rows=[12] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D13 | value='115787' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='519.56' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Delaware' | fill=FF00B050 | rows=[13] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D14 | value='3334' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='507.37' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B15 | value='District of Columbia' | fill=FF00B050 | rows=[14] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D15 | value='4441' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='533.12' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Maryland' | fill=FF00B050 | rows=[15] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D16 | value='15275' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='510.66' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Pennsylvania' | fill=FF00B050 | rows=[16] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D17 | value='60991' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='525.45' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Virginia' | fill=FF00B050 | rows=[17] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D18 | value='22810' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='506.39' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B19 | value='West Virginia' | fill=FF00B050 | rows=[18] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D19 | value='8936' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='525.96' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Atlanta' | fill=FF00B050 | rows=[19] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D20 | value='275413' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='524.38' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Alabama' | fill=FF00B050 | rows=[20] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D21 | value='28672' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='532.52' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Florida' | fill=FF00B050 | rows=[21] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D22 | value='80608' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='521.76' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Georgia' | fill=FF00B050 | rows=[22] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D23 | value='35046' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='523.82' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Kentucky' | fill=FF00B050 | rows=[23] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D24 | value='27797' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='535.6' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Mississippi' | fill=FF00B050 | rows=[24] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D25 | value='22853' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='532.95' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B26 | value='North Carolina' | fill=FF00B050 | rows=[25] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D26 | value='38295' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='512.91' | fill=00000000 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B27 | value='South Carolina' | fill=FF00B050 | rows=[26] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D27 | value='18731' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='518.39' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Tennessee' | fill=FF00B050 | rows=[27] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D28 | value='23411' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='526.19' | fill=00000000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Chicago' | fill=FF00B050 | rows=[28] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D29 | value='177249' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='530.95' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Illinois' | fill=FF00B050 | rows=[29] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D30 | value='45096' | fill=00000000 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
