=== transport-table06.xlsx ===
Cell A1 | value='Department for Transport statistics' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='https://www.gov.uk/government/organisations/department-for-transport/series/transport-accessibility-statistics--3' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A3 | value='Table ACS0206' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Users1 with access to key services within lower2 and upper2 threshold by mode of travel, rural and urban areas3, England, 2007 to 2013' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell R5 | value='Number / Percentage' | fill=FF00B0F0 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell C6 | value='Key services' | fill=FFFFFF00 | rows=[5] | cols=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=True | row_header=False | metadata=False
Cell C7 | value='Employment' | fill=FFFFFF00 | rows=[6] | cols=[2, 3] | col_header=True | row_header=False | metadata=False
Cell E7 | value='Primary school' | fill=FFFFFF00 | rows=[6] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell G7 | value='Secondary school' | fill=FFFFFF00 | rows=[6] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell I7 | value='Further Education' | fill=FFFFFF00 | rows=[6] | cols=[8, 9] | col_header=True | row_header=False | metadata=False
Cell K7 | value='GP' | fill=FFFFFF00 | rows=[6] | cols=[10, 11] | col_header=True | row_header=False | metadata=False
Cell M7 | value='Hospital' | fill=FFFFFF00 | rows=[6] | cols=[12, 13] | col_header=True | row_header=False | metadata=False
Cell O7 | value='Food store' | fill=FFFFFF00 | rows=[6] | cols=[14, 15] | col_header=True | row_header=False | metadata=False
Cell Q7 | value='Town Centres' | fill=FFFFFF00 | rows=[6] | cols=[16, 17] | col_header=True | row_header=False | metadata=False
Cell A8 | value='Year' | fill=FFFFFF00 | rows=[7] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B8 | value='Mode' | fill=FFFFFF00 | rows=[7] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C8 | value='Urban3' | fill=FFFFFF00 | rows=[7] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D8 | value='Rural3' | fill=FFFFFF00 | rows=[7] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E8 | value='Urban3' | fill=FFFFFF00 | rows=[7] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F8 | value='Rural3' | fill=FFFFFF00 | rows=[7] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G8 | value='Urban3' | fill=FFFFFF00 | rows=[7] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H8 | value='Rural3' | fill=FFFFFF00 | rows=[7] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I8 | value='Urban3' | fill=FFFFFF00 | rows=[7] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J8 | value='Rural3' | fill=FFFFFF00 | rows=[7] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K8 | value='Urban3' | fill=FFFFFF00 | rows=[7] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L8 | value='Rural3' | fill=FFFFFF00 | rows=[7] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M8 | value='Urban3' | fill=FFFFFF00 | rows=[7] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N8 | value='Rural3' | fill=FFFFFF00 | rows=[7] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O8 | value='Urban3' | fill=FFFFFF00 | rows=[7] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P8 | value='Rural3' | fill=FFFFFF00 | rows=[7] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q8 | value='Urban3' | fill=FFFFFF00 | rows=[7] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R8 | value='Rural3' | fill=FFFFFF00 | rows=[7] | cols=[17] | col_header=True | row_header=False | metadata=False
