=== society-table32.xlsx ===
Cell A1 | value='d' | fill=00000000 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell D1 | value='LiST Input Data - MNH Coverage Data WITH Mitigation Measures' | fill=FF00B0F0 | rows=[0] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A3 | value='HIDDEN' | fill=00000000 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell D3 | value='2. Data to be Entered into LiST Module' | fill=FF00B0F0 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Selected' | fill=9 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='x' | fill=9 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='Int# in LiST' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G4 | value='2019 Pre-COVID' | fill=FFFFFF00 | rows=[3] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H4 | value='2020 With COVID' | fill=FFFFFF00 | rows=[3] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I4 | value='2021 WITH Mitigation' | fill=FFFFFF00 | rows=[3] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell B5 | value='68' | fill=4 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='9' | fill=4 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='Periconceptual' | fill=FF00B050 | rows=[4, 5, 6, 7, 8] | cols=[3, 4] | col_header=False | row_header=True | metadata=False
Cell F5 | value='Folic acid supplementation/fortification' | fill=FF00B050 | rows=[4] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A6 | value='x' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='34' | fill=4 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='10' | fill=4 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F6 | value='Safe abortion services' | fill=FF00B050 | rows=[5] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G6 | value='2.2' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='1.892' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='2.19472' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B7 | value='35' | fill=4 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='11' | fill=4 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F7 | value='Post abortion case management' | fill=FF00B050 | rows=[6] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B8 | value='38' | fill=4 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='12' | fill=4 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F8 | value='Ectopic pregnancy case management' | fill=FF00B050 | rows=[7] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B9 | value='72' | fill=4 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='13' | fill=4 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F9 | value='Blanket iron supplementation/fortification' | fill=FF00B050 | rows=[8] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A10 | value='x' | fill=00000000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='9' | fill=5 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='14' | fill=5 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='Pregnancy/ Antenatal Care' | fill=FF00B050 | rows=[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25] | cols=[3, 4] | col_header=False | row_header=True | metadata=False
Cell F10 | value='Antenatal care (at least 1 visit)' | fill=FF00B050 | rows=[9] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G10 | value='67.5' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='53.325' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
