=== transport-table03.xlsx ===
Cell A1 | value='Department for Transport statistics' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='https://www.gov.uk/government/organisations/department-for-transport/series/transport-accessibility-statistics--3' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A3 | value='Table ACS0203' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A4 | value='At risk users1 with access to key services within lower2 and upper2 threshold by mode of travel, England, 2007 to 2013' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell R5 | value='Number / Percentage' | fill=FF00B0F0 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell C6 | value='Key services' | fill=FFFFFF00 | rows=[5] | cols=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=True | row_header=False | metadata=False
Cell C7 | value='Employment' | fill=FFFFFF00 | rows=[6] | cols=[2, 3] | col_header=True | row_header=False | metadata=False
Cell E7 | value='Primary school' | fill=FFFFFF00 | rows=[6] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell G7 | value='Secondary school' | fill=FFFFFF00 | rows=[6] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell I7 | value='Further Education3' | fill=FFFFFF00 | rows=[6] | cols=[8, 9] | col_header=True | row_header=False | metadata=False
Cell K7 | value='GP' | fill=FFFFFF00 | rows=[6] | cols=[10, 11] | col_header=True | row_header=False | metadata=False
Cell M7 | value='Hospital' | fill=FFFFFF00 | rows=[6] | cols=[12, 13] | col_header=True | row_header=False | metadata=False
Cell O7 | value='Food store' | fill=FFFFFF00 | rows=[6] | cols=[14, 15] | col_header=True | row_header=False | metadata=False
Cell Q7 | value='Town Centres' | fill=FFFFFF00 | rows=[6] | cols=[16, 17] | col_header=True | row_header=False | metadata=False
Cell A8 | value='Year' | fill=FFFFFF00 | rows=[7] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B8 | value='Mode' | fill=FFFFFF00 | rows=[7] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell A9 | value='Number of people with access' | fill=FFFFFF00 | rows=[8] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A10 | value='2007' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='Public Transport / Walking' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='702300' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='716800' | fill=9 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='564500' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='569300' | fill=9 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='404700' | fill=9 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='432800' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='..' | fill=9 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='..' | fill=9 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='5357900' | fill=9 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='5630100' | fill=9 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='4762500' | fill=9 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='5573300' | fill=9 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='5546400' | fill=9 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='5643200' | fill=9 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='..' | fill=9 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='..' | fill=9 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Cycle' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='707200' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='716800' | fill=9 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='568500' | fill=9 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='569700' | fill=9 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='424600' | fill=9 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='433600' | fill=9 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='..' | fill=9 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='..' | fill=9 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='5512800' | fill=9 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='5634200' | fill=9 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='5252000' | fill=9 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='5601400' | fill=9 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='5571600' | fill=9 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='5640400' | fill=9 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='..' | fill=9 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='..' | fill=9 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Car' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='719300' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='719300' | fill=9 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='569700' | fill=9 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='569700' | fill=9 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='434900' | fill=9 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='434900' | fill=9 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='..' | fill=9 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='..' | fill=9 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='5652500' | fill=9 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='5652600' | fill=9 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='5652400' | fill=9 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='5652600' | fill=9 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='5652500' | fill=9 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
