=== society-table75.xlsx ===
Cell A1 | value='Year' | fill=FFFFFF00 | rows=[0, 1] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Month' | fill=FFFFFF00 | rows=[0, 1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Failure to attend mandatory interview' | fill=FFFFFF00 | rows=[0, 1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Failure to participate in Work Related Activity' | fill=FFFFFF00 | rows=[0, 1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Total' | fill=FFFFFF00 | rows=[0, 1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell A3 | value='2012' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='December' | fill=FF00B050 | rows=[2] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C3 | value='387' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='775' | fill=9 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='1161' | fill=9 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A4 | value='2013' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='January' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='547' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='921' | fill=9 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='1466' | fill=9 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B5 | value='February' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='480' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='750' | fill=9 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='1233' | fill=9 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B6 | value='March' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='499' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='752' | fill=9 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='1252' | fill=9 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B7 | value='April' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='443' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='1245' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='1689' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B8 | value='May' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='510' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='1507' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='2012' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B9 | value='June' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='445' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='1543' | fill=9 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='1990' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B10 | value='July' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='578' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='2167' | fill=9 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='2743' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B11 | value='August' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='463' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='2207' | fill=9 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='2671' | fill=9 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B12 | value='September' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='484' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='2627' | fill=9 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='3107' | fill=9 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Total' | fill=FF00B050 | rows=[12] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='4835' | fill=22 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='14492' | fill=22 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='19325' | fill=22 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Source: Decision Making and Appeals System (DMAS), via Stat-Xplore' | fill=FF00B0F0 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A18 | value='Notes:' | fill=FF00B0F0 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A19 | value='1    Cells in this table have been randomly adjusted to avoid the release of confidential data.  Due to adjustments totals may not be the sum of the individual cells.' | fill=FF00B0F0 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=True

