=== society-table63.xlsx ===
Cell D1 | value='Total bankruptcies' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='Self employment status' | fill=FFFFFF00 | rows=[0] | cols=[5, 6, 7, 8, 9, 10, 11, 12] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Self employed2' | fill=FFFFFF00 | rows=[1] | cols=[5, 6, 7, 8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Other individuals' | fill=FFFFFF00 | rows=[1] | cols=[9, 10, 11, 12] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Period' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell F3 | value='No.' | fill=FFFFFF00 | rows=[2] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='%' | fill=FFFFFF00 | rows=[2] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='No.' | fill=FFFFFF00 | rows=[2] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='%' | fill=FFFFFF00 | rows=[2] | cols=[11, 12] | col_header=True | row_header=False | metadata=False
Cell A4 | value='2010' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D4 | value='59173' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F4 | value='8144' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H4 | value='13.7630338160986' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J4 | value='51029' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L4 | value='86.2369661839014' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A5 | value='2011' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D5 | value='41876' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F5 | value='8893' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H5 | value='21.2365077848887' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J5 | value='32983' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L5 | value='78.7634922151113' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A6 | value='2012' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D6 | value='31787' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F6 | value='7523' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H6 | value='23.6669078554126' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J6 | value='24264' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L6 | value='76.3330921445874' | fill=00000000 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A7 | value='2013' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D7 | value='24571' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F7 | value='5999' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H7 | value='24.4149607260592' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J7 | value='18572' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L7 | value='75.5850392739408' | fill=00000000 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A8 | value='2014' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
