=== society-table02.xlsx ===
Cell A1 | value='Number of tables on this sheet:' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell B1 | value='4' | fill=9 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Participation in voluntary work by sector' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A5 | value='Data owner:' | fill=FF00B0F0 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B5 | value='Department for Culture Media and Sport (With Arts Council england, Sports England, English Heritage and MLA).' | fill=FF00B0F0 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell A6 | value='Link to data owner:' | fill=FF00B0F0 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B6 | value='www.culture.gov.uk' | fill=FF00B0F0 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell A7 | value='Data source:' | fill=FF00B0F0 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B7 | value='Taking Part' | fill=FF00B0F0 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell A8 | value='Link to data source:' | fill=FF00B0F0 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B8 | value='https://www.kmrsoftware.net/netquestdcms/login/login.aspx?ReturnUrl=%2fnetquestdcms%2fdefault.aspx' | fill=FF00B0F0 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell A9 | value='Date:' | fill=FF00B0F0 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B9 | value='2005/06, 2006/07, 2007/08' | fill=FF00B0F0 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell A10 | value='Update cycle:' | fill=FF00B0F0 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B10 | value='Annual' | fill=FF00B0F0 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell A12 | value='Was the voluntary work you undertook connected to any of the following sectors?' | fill=FF00B0F0 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A14 | value='Total number of people that undertook volunary work (000s) by sector and region in 2005/06 and 2007/08' | fill=FF00B0F0 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B15 | value='Arts' | fill=FFFFFF00 | rows=[14] | cols=[1, 2] | col_header=True | row_header=False | metadata=False
Cell D15 | value='Museum/gallery' | fill=FFFFFF00 | rows=[14] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F15 | value='Heritage' | fill=FFFFFF00 | rows=[14] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H15 | value='Libraries' | fill=FFFFFF00 | rows=[14] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell J15 | value='Archives' | fill=FFFFFF00 | rows=[14] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell L15 | value='Sport' | fill=FFFFFF00 | rows=[14] | cols=[11, 12] | col_header=True | row_header=False | metadata=False
Cell N15 | value='Any other sector' | fill=FFFFFF00 | rows=[14] | cols=[13, 14] | col_header=True | row_header=False | metadata=False
Cell A16 | value='Region' | fill=FFFFFF00 | rows=[15] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B16 | value='2005/06' | fill=FFFFFF00 | rows=[15] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C16 | value='2007/08' | fill=FFFFFF00 | rows=[15] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D16 | value='2005/06' | fill=FFFFFF00 | rows=[15] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E16 | value='2007/08' | fill=FFFFFF00 | rows=[15] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F16 | value='2005/06' | fill=FFFFFF00 | rows=[15] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G16 | value='2007/08' | fill=FFFFFF00 | rows=[15] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H16 | value='2005/06' | fill=FFFFFF00 | rows=[15] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I16 | value='2007/08' | fill=FFFFFF00 | rows=[15] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J16 | value='2005/06' | fill=FFFFFF00 | rows=[15] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K16 | value='2007/08' | fill=FFFFFF00 | rows=[15] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L16 | value='2005/06' | fill=FFFFFF00 | rows=[15] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M16 | value='2007/08' | fill=FFFFFF00 | rows=[15] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N16 | value='2005/06' | fill=FFFFFF00 | rows=[15] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O16 | value='2007/08' | fill=FFFFFF00 | rows=[15] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell A17 | value='East Midlands' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='32.6' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='45' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='3.9' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='9.7' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='27.7' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='27.4' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='4.6' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='6.2' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='4' | fill=00000000 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='7.1' | fill=00000000 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='183' | fill=00000000 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='202' | fill=00000000 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='623' | fill=00000000 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='651' | fill=00000000 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A18 | value='East of England' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='76' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='70' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='20.9' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='13' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='65' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='50' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='12' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='6.3' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='7.8' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='2.4' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='237' | fill=00000000 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='225' | fill=00000000 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='859' | fill=00000000 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='935' | fill=00000000 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A19 | value='London' | fill=FF00B050 | rows=[18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='129' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='115' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='32.3' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='20.3' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='81' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='42' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='11.4' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='11.2' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='17.4' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='6.5' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='215' | fill=00000000 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='237' | fill=00000000 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='1059' | fill=00000000 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='1122' | fill=00000000 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A20 | value='North East' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
